Query,MLSR_ID,Change_in_Requirements
Show me requirements that comply with Develop feature in system to remove user accounts that are no longer needed.,MLSR049_174,"MLSR049_174: disable inactive account after defined time period
MLSR049_190: disable account when found posing a risk to organization
MLSR079_296: remove access accounts when no longer needed
MLSR049_185: terminate shared account when member leaves group
MLSR079_1008: ensure user accounts inactivated, suspended/removed and revoked when no longer needed
MLSR076_78: terminate user account/temporary account once user leaves organization
MLSR049_170: employ automated mechanism to manage account during termination/transfer
MLSR049_993: disable identifier after a period of inactivity
MLSR307_206: remove/disable inactive user accounts within 90 days
MLSR307_46: remove or disable unnecessary default accounts before installing system on network
MLSR049_172: disable temporary/emergency account after defined time period"
I need a requirement for secure Develop feature in system to remove user accounts that are no longer needed.,MLSR049_174,"MLSR049_174: disable inactive account after defined time period
MLSR049_190: disable account when found posing a risk to organization
MLSR079_296: remove access accounts when no longer needed
MLSR049_185: terminate shared account when member leaves group
MLSR079_1008: ensure user accounts inactivated, suspended/removed and revoked when no longer needed
MLSR076_78: terminate user account/temporary account once user leaves organization
MLSR049_170: employ automated mechanism to manage account during termination/transfer
MLSR049_993: disable identifier after a period of inactivity
MLSR307_206: remove/disable inactive user accounts within 90 days
MLSR307_46: remove or disable unnecessary default accounts before installing system on network
MLSR049_172: disable temporary/emergency account after defined time period"
I need a requirement for secure Develop feature in system to remove user accounts that are no longer needed.,MLSR049_174,"MLSR049_174: disable inactive account after defined time period
MLSR049_190: disable account when found posing a risk to organization
MLSR079_296: remove access accounts when no longer needed
MLSR049_185: terminate shared account when member leaves group
MLSR079_1008: ensure user accounts inactivated, suspended/removed and revoked when no longer needed
MLSR076_78: terminate user account/temporary account once user leaves organization
MLSR049_170: employ automated mechanism to manage account during termination/transfer
MLSR049_993: disable identifier after a period of inactivity
MLSR307_206: remove/disable inactive user accounts within 90 days
MLSR307_46: remove or disable unnecessary default accounts before installing system on network
MLSR049_172: disable temporary/emergency account after defined time period"
Give me all the requirements linked to Develop feature in system to maintain identity and credentials for users.,MLSR049_602,"MLSR049_602: maintain reviewer/releaser identity and credentials within established chain of custody for all information reviewed or released
MLSR049_597: bind identity of information producer with information
MLSR049_600: validate binding of information producer identity to information periodically
MLSR049_604: validate binding of information reviewer identity
MLSR049_1068: receive, validate, and transmit identification information
MLSR049_1042: use FICAM approved path discovery and products and services
MLSR065_102: provision and de-provision credentials simultaneously throughout cloud system"
I need a requirement for secure Develop feature in system to maintain identity and credentials for users.,MLSR049_602,"MLSR049_602: maintain reviewer/releaser identity and credentials within established chain of custody for all information reviewed or released
MLSR049_597: bind identity of information producer with information
MLSR049_600: validate binding of information producer identity to information periodically
MLSR049_604: validate binding of information reviewer identity
MLSR049_1068: receive, validate, and transmit identification information
MLSR049_1042: use FICAM approved path discovery and products and services
MLSR065_102: provision and de-provision credentials simultaneously throughout cloud system"
What are the requirements for Develop feature in system to maintain identity and credentials for users?,MLSR049_602,"MLSR049_602: maintain reviewer/releaser identity and credentials within established chain of custody for all information reviewed or released
MLSR049_597: bind identity of information producer with information
MLSR049_600: validate binding of information producer identity to information periodically
MLSR049_604: validate binding of information reviewer identity
MLSR049_1068: receive, validate, and transmit identification information
MLSR049_1042: use FICAM approved path discovery and products and services
MLSR065_102: provision and de-provision credentials simultaneously throughout cloud system"
Show me requirements that comply with Develop feature in system to monitor and lock/disable account after predefined unsuccessful login attempts.,MLSR049_308,"MLSR049_308: lock account after configured number of continuous unsuccessful login attempts
MLSR049_307: limit number of consecutive unsuccessful login attempts
MLSR079_314: disable account for remote user after pre-defined number of failed login attempts
MLSR079_1055: enforce account lockout after predefined number of failed login attempt
MLSR076_96: disable user account after continuous unsuccessful login attempts
MLSR092_118: monitor number of failed attempts
MLSR016_100: disable credential or define timeout (30 mins) after sequential number of unsuccessful login attempts
MLSR016_101: increase delay for each unsuccessful attempt
MLSR310_29: limit or increasingly delay failed login attempts
MLSR311_120: define API threshold for a designated time interval from a given location for number of login attempts
MLSR302_64: implement rate-limiting mechanism that limits number of failed authentication attempts
MLSR302_155: limit consecutive failed authentication attempts on single account to no more than 100
MLSR302_158: ensure claimant waits after a failed attempt for a period of time that increases as account approaches its maximum allowance for consecutive failed attempts
MLSR302_161: remove previous failed attempts for user from same IP address when subscriber successfully authenticates
MLSR302_417: provide feedback on number of remaining allowed attempts and inform users of time period to wait until next attempt
MLSR307_209: lock user ID after six invalid repeated logon attempts
MLSR307_210: set lockout duration to minimum of 30 mins or until administrator enables user ID once user account is locked out"
Show me security requirements for Develop feature in system to monitor and lock/disable account after predefined unsuccessful login attempts.,MLSR049_308,"MLSR049_308: lock account after configured number of continuous unsuccessful login attempts
MLSR049_307: limit number of consecutive unsuccessful login attempts
MLSR079_314: disable account for remote user after pre-defined number of failed login attempts
MLSR079_1055: enforce account lockout after predefined number of failed login attempt
MLSR076_96: disable user account after continuous unsuccessful login attempts
MLSR092_118: monitor number of failed attempts
MLSR016_100: disable credential or define timeout (30 mins) after sequential number of unsuccessful login attempts
MLSR016_101: increase delay for each unsuccessful attempt
MLSR310_29: limit or increasingly delay failed login attempts
MLSR311_120: define API threshold for a designated time interval from a given location for number of login attempts
MLSR302_64: implement rate-limiting mechanism that limits number of failed authentication attempts
MLSR302_155: limit consecutive failed authentication attempts on single account to no more than 100
MLSR302_158: ensure claimant waits after a failed attempt for a period of time that increases as account approaches its maximum allowance for consecutive failed attempts
MLSR302_161: remove previous failed attempts for user from same IP address when subscriber successfully authenticates
MLSR302_417: provide feedback on number of remaining allowed attempts and inform users of time period to wait until next attempt
MLSR307_209: lock user ID after six invalid repeated logon attempts
MLSR307_210: set lockout duration to minimum of 30 mins or until administrator enables user ID once user account is locked out"
What are the requirements for Develop feature in system to monitor and lock/disable account after predefined unsuccessful login attempts?,MLSR049_308,"MLSR049_308: lock account after configured number of continuous unsuccessful login attempts
MLSR049_307: limit number of consecutive unsuccessful login attempts
MLSR079_314: disable account for remote user after pre-defined number of failed login attempts
MLSR079_1055: enforce account lockout after predefined number of failed login attempt
MLSR076_96: disable user account after continuous unsuccessful login attempts
MLSR092_118: monitor number of failed attempts
MLSR016_100: disable credential or define timeout (30 mins) after sequential number of unsuccessful login attempts
MLSR016_101: increase delay for each unsuccessful attempt
MLSR310_29: limit or increasingly delay failed login attempts
MLSR311_120: define API threshold for a designated time interval from a given location for number of login attempts
MLSR302_64: implement rate-limiting mechanism that limits number of failed authentication attempts
MLSR302_155: limit consecutive failed authentication attempts on single account to no more than 100
MLSR302_158: ensure claimant waits after a failed attempt for a period of time that increases as account approaches its maximum allowance for consecutive failed attempts
MLSR302_161: remove previous failed attempts for user from same IP address when subscriber successfully authenticates
MLSR302_417: provide feedback on number of remaining allowed attempts and inform users of time period to wait until next attempt
MLSR307_209: lock user ID after six invalid repeated logon attempts
MLSR307_210: set lockout duration to minimum of 30 mins or until administrator enables user ID once user account is locked out"
Give me requirements related to Develop feature to lock/unlock mobile device by an administrator .,MLSR305_74,"MLSR305_71: limit number of retries permitted without negative consequences such as locking account
MLSR305_73: ensure mobile device automatically locks itself after specified number of minutes of inactivity
MLSR305_74: allow administrator to remotely lock mobile device if left in unlocked state in unsecured location"
Give me all the requirements linked to Develop feature to lock/unlock mobile device by an administrator .,MLSR305_74,"MLSR305_71: limit number of retries permitted without negative consequences such as locking account
MLSR305_73: ensure mobile device automatically locks itself after specified number of minutes of inactivity
MLSR305_74: allow administrator to remotely lock mobile device if left in unlocked state in unsecured location"
Give me requirements related to Develop feature to lock/unlock mobile device by an administrator .,MLSR305_74,"MLSR305_71: limit number of retries permitted without negative consequences such as locking account
MLSR305_73: ensure mobile device automatically locks itself after specified number of minutes of inactivity
MLSR305_74: allow administrator to remotely lock mobile device if left in unlocked state in unsecured location"
"Give me all the requirements linked to Develop feature in system to identify unique user, track and manage identifiers assigned to users.",MLSR076_84,"MLSR049_991: select identifier and assign to intended individual, group, role or device
MLSR049_992: prevent reuse of identifier that are previously assigned
MLSR049_995: prohibit use of identifier that are same as public identifiers for individual mail accounts
MLSR049_997: include supervisor authorization for an identifier during registration process
MLSR049_1000: manage identifiers by identifying unique characteristics of each individual
MLSR049_1004: coordinate cross-organization management of identifiers
MLSR076_84:  implement unique user identification to track and identify user
MLSR050_117: prevent reuse of identifiers for defined period
MLSR307_202: assign all users a unique ID before allowing them to access system components or cardholder data "
"Fetch requirements mapped to Develop feature in system to identify unique user, track and manage identifiers assigned to users.",MLSR076_84,"MLSR049_991: select identifier and assign to intended individual, group, role or device
MLSR049_992: prevent reuse of identifier that are previously assigned
MLSR049_995: prohibit use of identifier that are same as public identifiers for individual mail accounts
MLSR049_997: include supervisor authorization for an identifier during registration process
MLSR049_1000: manage identifiers by identifying unique characteristics of each individual
MLSR049_1004: coordinate cross-organization management of identifiers
MLSR076_84:  implement unique user identification to track and identify user
MLSR050_117: prevent reuse of identifiers for defined period
MLSR307_202: assign all users a unique ID before allowing them to access system components or cardholder data "
"Give me requirements related to Develop feature in system to identify unique user, track and manage identifiers assigned to users.",MLSR076_84,"MLSR049_991: select identifier and assign to intended individual, group, role or device
MLSR049_992: prevent reuse of identifier that are previously assigned
MLSR049_995: prohibit use of identifier that are same as public identifiers for individual mail accounts
MLSR049_997: include supervisor authorization for an identifier during registration process
MLSR049_1000: manage identifiers by identifying unique characteristics of each individual
MLSR049_1004: coordinate cross-organization management of identifiers
MLSR076_84:  implement unique user identification to track and identify user
MLSR050_117: prevent reuse of identifiers for defined period
MLSR307_202: assign all users a unique ID before allowing them to access system components or cardholder data "
What are the requirements for Develop feature in system to authorize and grant physical access for users?,MLSR049_1196,"MLSR049_1196: designate authorized personnel to supervise maintenance activities of personnel who do not possess required access
MLSR049_1195 : authorize non-escorted personnel performing maintenance
MLSR049_1304: authorize physical access to system in addition to physical access controls for facility
MLSR049_1201: provide security clearances and formal access approvals for highest classification level of information on system
MLSR076_103: grant vendor personnel, physical access to IVD system
MLSR076_146: protect computer hardware from unwanted access to physical computer components
MLSR074_627: provide physical access to suppliers for support purposes with management approval"
Do we have any requirements for Develop feature in system to authorize and grant physical access for users compliance?,MLSR049_1196,"MLSR049_1196: designate authorized personnel to supervise maintenance activities of personnel who do not possess required access
MLSR049_1195 : authorize non-escorted personnel performing maintenance
MLSR049_1304: authorize physical access to system in addition to physical access controls for facility
MLSR049_1201: provide security clearances and formal access approvals for highest classification level of information on system
MLSR076_103: grant vendor personnel, physical access to IVD system
MLSR076_146: protect computer hardware from unwanted access to physical computer components
MLSR074_627: provide physical access to suppliers for support purposes with management approval"
What are the requirements for Develop feature in system to authorize and grant physical access for users?,MLSR049_1196,"MLSR049_1196: designate authorized personnel to supervise maintenance activities of personnel who do not possess required access
MLSR049_1195 : authorize non-escorted personnel performing maintenance
MLSR049_1304: authorize physical access to system in addition to physical access controls for facility
MLSR049_1201: provide security clearances and formal access approvals for highest classification level of information on system
MLSR076_103: grant vendor personnel, physical access to IVD system
MLSR076_146: protect computer hardware from unwanted access to physical computer components
MLSR074_627: provide physical access to suppliers for support purposes with management approval"
I need a requirement for secure Implement mechanism to control remote access in containers.,MLSR301_135,MLSR301_135:  ensure remote management of containers are done through container runtime APIs or by creating remote shell sessions to host 
Show me security requirements for Implement mechanism to control remote access in containers.,MLSR301_135,MLSR301_135:  ensure remote management of containers are done through container runtime APIs or by creating remote shell sessions to host 
Give me requirements related to Implement mechanism to control remote access in containers.,MLSR301_135,MLSR301_135:  ensure remote management of containers are done through container runtime APIs or by creating remote shell sessions to host 
Show me requirements that comply with Employ mechanism to authorize and control remote access and remote sessions.,MLSR049_377,"MLSR049_377: establish usage restrictions and configuration/ connection requirements for remote access
MLSR049_378: authorize remote access connections prior to connect
MLSR049_276: allow to access computing platforms residing on multiple different security domains
MLSR049_384: protect integrity/confidentiality of remote access sessions
MLSR049_391: protect information about remote access mechanisms from unauthorized use and disclosure
MLSR049_395: disconnect remote users after a period of inactivity
MLSR049_382: monitor, audit and control remote access sessions via automated mechanism to detect cyber attacks
MLSR049_1780: prevent split-tunneling in remote devices by preventing configuration settings to be configurable by users 
MLSR049_1780: prohibit connection to remote device if it is configured for split-tunneling
MLSR049_386: route/limit all remote access through defined number of managed network access control points
MLSR079_313: configure policy addressing remote login/connections to control system
MLSR050_65: monitor and control remote access session
MLSR050_196: prevent remote devices from establishing non-remote connections in external networks
MLSR050_68: authorize remote execution and remote access to security-relevant information
MLSR050_66: employ cryptographic mechanism to protect confidentiality of remote access sessions
MLSR049_1189: implement cryptography to protect integrity of nonlocal maintenance communication"
What are the requirements for Employ mechanism to authorize and control remote access and remote sessions?,MLSR049_377,"MLSR049_377: establish usage restrictions and configuration/ connection requirements for remote access
MLSR049_378: authorize remote access connections prior to connect
MLSR049_276: allow to access computing platforms residing on multiple different security domains
MLSR049_384: protect integrity/confidentiality of remote access sessions
MLSR049_391: protect information about remote access mechanisms from unauthorized use and disclosure
MLSR049_395: disconnect remote users after a period of inactivity
MLSR049_382: monitor, audit and control remote access sessions via automated mechanism to detect cyber attacks
MLSR049_1780: prevent split-tunneling in remote devices by preventing configuration settings to be configurable by users 
MLSR049_1780: prohibit connection to remote device if it is configured for split-tunneling
MLSR049_386: route/limit all remote access through defined number of managed network access control points
MLSR079_313: configure policy addressing remote login/connections to control system
MLSR050_65: monitor and control remote access session
MLSR050_196: prevent remote devices from establishing non-remote connections in external networks
MLSR050_68: authorize remote execution and remote access to security-relevant information
MLSR050_66: employ cryptographic mechanism to protect confidentiality of remote access sessions
MLSR049_1189: implement cryptography to protect integrity of nonlocal maintenance communication"
Do we have security requirements for Employ mechanism to authorize and control remote access and remote sessions in place?,MLSR049_377,"MLSR049_377: establish usage restrictions and configuration/ connection requirements for remote access
MLSR049_378: authorize remote access connections prior to connect
MLSR049_276: allow to access computing platforms residing on multiple different security domains
MLSR049_384: protect integrity/confidentiality of remote access sessions
MLSR049_391: protect information about remote access mechanisms from unauthorized use and disclosure
MLSR049_395: disconnect remote users after a period of inactivity
MLSR049_382: monitor, audit and control remote access sessions via automated mechanism to detect cyber attacks
MLSR049_1780: prevent split-tunneling in remote devices by preventing configuration settings to be configurable by users 
MLSR049_1780: prohibit connection to remote device if it is configured for split-tunneling
MLSR049_386: route/limit all remote access through defined number of managed network access control points
MLSR079_313: configure policy addressing remote login/connections to control system
MLSR050_65: monitor and control remote access session
MLSR050_196: prevent remote devices from establishing non-remote connections in external networks
MLSR050_68: authorize remote execution and remote access to security-relevant information
MLSR050_66: employ cryptographic mechanism to protect confidentiality of remote access sessions
MLSR049_1189: implement cryptography to protect integrity of nonlocal maintenance communication"
Do we have any requirements for Implement access control for protection of card holder data compliance?,MLSR307_105,"MLSR307_105: manage logical access independently of native OS authentication and access control mechanisms, if disk encryption is used
MLSR307_110: restrict access to cryptographic keys to fewest number of custodians necessary
MLSR307_178: prohibit improper access control such as insecure direct object references, failure to restrict URL access, failure to restrict user access to functions
"
I need a requirement for Implement access control for protection of card holder data.,MLSR307_105,"MLSR307_105: manage logical access independently of native OS authentication and access control mechanisms, if disk encryption is used
MLSR307_110: restrict access to cryptographic keys to fewest number of custodians necessary
MLSR307_178: prohibit improper access control such as insecure direct object references, failure to restrict URL access, failure to restrict user access to functions
"
Show me security requirements for Implement access control for protection of card holder data.,MLSR307_105,"MLSR307_105: manage logical access independently of native OS authentication and access control mechanisms, if disk encryption is used
MLSR307_110: restrict access to cryptographic keys to fewest number of custodians necessary
MLSR307_178: prohibit improper access control such as insecure direct object references, failure to restrict URL access, failure to restrict user access to functions
"
What are the requirements for Develop feature in system to maintain and review access rights periodically for user?,MLSR074_284,"MLSR074_284: review access rights periodically and after changes such as promotion, demotion or termination of employment
MLSR074_286: review privileged access rights at frequent intervals
MLSR049_298: review privileges assigned to users and remove, reassign privileges if any changes on user roles
MLSR074_270: implement authorization process and maintain a record of all privileges allocated
MLSR307_477: review user accounts and access privileges at least every six months to ensure access remain appropriate based on job function"
What are the requirements for Develop feature in system to maintain and review access rights periodically for user?,MLSR074_284,"MLSR074_284: review access rights periodically and after changes such as promotion, demotion or termination of employment
MLSR074_286: review privileged access rights at frequent intervals
MLSR049_298: review privileges assigned to users and remove, reassign privileges if any changes on user roles
MLSR074_270: implement authorization process and maintain a record of all privileges allocated
MLSR307_477: review user accounts and access privileges at least every six months to ensure access remain appropriate based on job function"
Give me requirements related to Develop feature in system to maintain and review access rights periodically for user.,MLSR074_284,"MLSR074_284: review access rights periodically and after changes such as promotion, demotion or termination of employment
MLSR074_286: review privileged access rights at frequent intervals
MLSR049_298: review privileges assigned to users and remove, reassign privileges if any changes on user roles
MLSR074_270: implement authorization process and maintain a record of all privileges allocated
MLSR307_477: review user accounts and access privileges at least every six months to ensure access remain appropriate based on job function"
"Do we have any requirements for Develop feature in system to identify, assign and restrict roles for privileged user accounts compliance?",MLSR049_293,"MLSR049_181: monitor privileged role assignments and take necessary action
MLSR049_287: allow privileged user to use non-privileged account while accessing non-security functions
MLSR049_255: provide capability for privileged administrators to enable and disable security policy filters
MLSR049_293: restrict privileged accounts to defined personnel or roles
MLSR065_93: provision read/write/delete permissions to accounts which have system-wide privileges in cloud
MLSR065_94: manage all accounts with highest level of privilege on cloud
MLSR065_99: provision ‘administrator’ role for customer which has access to limited features
MLSR074_269: identify privileged access rights associated with each system or process
MLSR043_83: allow IT administrator to disable automatic logoff function and set expiration time
MLSR016_108: define ’administrator’ or ’system’ role that has privileges exclusively related to product management
MLSR049_180: administer privileged user accounts in accordance with role-based access
MLSR065_96: ensure proper segregation of duties while allocating high privilege roles
MLSR050_58: employ principle of least privilege for specific security functions and privileged accounts
MLSR307_190: restrict access to privileged user IDs to least privileges necessary to perform job responsibilities
MLSR088_80: allow authorized IT administrator to select product security capabilities
MLSR076_210: ensure data stored in cloud cannot be accessed by administrators of cloud
MLSR079_1049: perform all system administrator or application configuration functions locally at device "
